isin	wkn	ticker	valor	name	inception_date	age_in_days	age_in_years	strategy	domicile_country	currency	hedged	securities_lending	dividends	ter	replication	size	is_sustainable	number_of_holdings	yesterday	last_week	last_month	last_three_months	last_six_months	last_year	last_three_years	last_five_years	2023	2022	2021	2020	last_dividends	last_year_dividends	last_year_volatility	last_three_years_volatility	last_five_years_volatility	last_year_return_per_risk	last_three_years_return_per_risk	last_five_years_return_per_risk	max_drawdown	last_year_max_drawdown	last_three_years_max_drawdown	last_five_years_max_drawdown
IE00B5BMR087	A0YEDG	SXR8	10737041	iShares Core S&P 500 UCITS ETF USD (Acc)	2010-05-19	5250	14.383561643835616	Long-only	Ireland	USD	False	True	Accumulating	0.07	Full replication	86564	False	503	20.37	0.07	1.22	1.38	6.52	28.79	42.5	103.98	21.54	-13.3	39.07	8.04			13.03	18.11	21.61	2.2	0.69	0.71	-33.71	-9.09	-17.11	-33.71
IE00B4L5Y983	A0RPWH	EUNL	10608388	iShares Core MSCI World UCITS ETF USD (Acc)	2009-09-25	5486	15.03013698630137	Long-only	Ireland	USD	False	True	Accumulating	0.2	Optimized sampling	76357	False	1429	17.55	0.23	1.01	2.0	5.44	25.57	34.29	82.43	19.55	-12.96	32.1	6.13			11.39	15.35	18.28	2.24	0.67	0.7	-33.91	-8.75	-16.88	-33.91
IE00B3XXRP09	A1JX53	VUSA	18575508	Vanguard S&P 500 UCITS ETF (USD) Distributing	2012-05-22	4516	12.372602739726027	Long-only	Ireland	USD	False	True	Distributing	0.07	Full replication	39278	False	486	20.36	0.06	1.22	1.37	6.8	28.78	42.49	103.99	21.54	-13.29	39.08	8.05	1.06	1.34	13.07	18.25	21.68	2.19	0.69	0.71	-33.7	-9.09	-17.28	-33.7
IE00B3YCGJ38	A1CYW7	P500	11358996	Invesco S&P 500 UCITS ETF	2010-05-20	5249	14.38082191780822	Long-only	Ireland	USD	False	False	Accumulating	0.05	Swap based Unfunded	22652	False		19.75	-0.58	0.58	0.77	6.0	28.21	42.46	104.88	21.8	-13.1	39.37	8.31			13.07	18.16	21.66	2.15	0.69	0.71	-33.69	-9.09	-17.2	-33.69
IE00BKM4GZ66	A111X9	IS3N	24209517	iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc)	2014-05-30	3778	10.35068493150685	Long-only	Ireland	USD	False	True	Accumulating	0.18	Full replication	20755	False	3067	15.01	2.92	5.4	3.95	9.9	19.18	7.55	34.01	7.69	-14.16	7.29	8.3			12.94	14.3	16.58	1.48	0.17	0.36	-34.34	-10.36	-22.3	-32.62
IE0031442068	622391	IUSA	1396252	iShares Core S&P 500 UCITS ETF USD (Dist)	2002-03-15	8237	22.567123287671233	Long-only	Ireland	USD	False	True	Distributing	0.07	Full replication	15965	False	503	20.34	0.06	1.22	1.38	6.48	28.78	42.5	104.09	21.57	-13.29	39.06	8.09	1.06	1.35	13.01	18.09	21.59	2.21	0.69	0.71	-55.67	-9.07	-17.08	-33.71
IE00B579F325	A1AA5X	8PSG	10326235	Invesco Physical Gold A	2009-06-25	5578	15.282191780821918	Long-only	Ireland	USD	False	False	Accumulating	0.12	Physically backed	15963	False		28.11	1.07	5.56	10.37	16.53	35.38	57.42	75.75	9.71	5.61	3.95	13.66			14.56	14.56	15.18	2.42	1.12	0.79	-37.45	-5.96	-11.76	-18.22
IE00B4ND3602	A1KWPQ	PPFB	12881542	iShares Physical Gold ETC	2011-04-08	4926	13.495890410958904	Long-only	Ireland	USD	False	False	Accumulating	0.12	Physically backed	15505	False		28.91	1.72	6.24	11.08	17.14	36.22	58.44	75.68	9.73	5.62	3.95	13.69			14.54	14.57	15.05	2.48	1.14	0.79	-37.2	-5.95	-11.78	-18.21
IE00B3RBWM25	A1JX52	VGWL	18575459	Vanguard FTSE All-World UCITS ETF (USD) Distributing	2012-05-22	4516	12.372602739726027	Long-only	Ireland	USD	False	True	Distributing	0.22	Optimized sampling	14574	False	3620	17.2	0.6	1.53	2.38	6.51	24.63	30.49	74.44	17.78	-13.01	28.19	6.19	1.52	1.87	10.83	14.19	17.05	2.27	0.65	0.69	-33.47	-8.71	-16.14	-33.47
IE00B6R52259	A1JMDF	IUSQ	14137311	iShares MSCI ACWI UCITS ETF USD (Acc)	2011-10-21	4730	12.95890410958904	Long-only	Ireland	USD	False	True	Accumulating	0.2	Optimized sampling	14350	False	2412	17.33	0.55	1.52	2.32	5.92	24.93	31.07	74.75	18.11	-13.12	28.6	5.86			10.94	14.4	17.31	2.27	0.65	0.68	-33.59	-8.78	-16.26	-33.59
IE0005042456	552752	IUSZ	1083749	iShares Core FTSE 100 UCITS ETF (Dist)	2000-04-27	8924	24.44931506849315	Long-only	Ireland	GBP	False	True	Distributing	0.07	Full replication	14011	False	101	15.07	-0.1	-0.2	4.07	8.57	16.95	35.03	43.44	9.96	-0.93	26.6	-16.25	3.72	4.18	10.62	13.87	18.83	1.59	0.76	0.4	-58.58	-6.01	-15.16	-39.72
IE00B53SZB19	A0YEDL	SXRV	10737617	iShares Nasdaq 100 UCITS ETF (Acc)	2010-01-26	5363	14.693150684931506	Long-only	Ireland	USD	False	True	Accumulating	0.33	Full replication	13843	False	101	17.17	-0.69	0.81	-3.42	5.39	28.58	41.21	157.24	49.07	-28.5	37.55	35.65			17.99	24.17	26.01	1.58	0.5	0.8	-31.43	-14.57	-31.43	-31.43
IE00BFMXXD54	A2PFN2	VUAA	46931424	Vanguard S&P 500 UCITS ETF (USD) Accumulating	2019-05-14	1968	5.391780821917808	Long-only	Ireland	USD	False	True	Accumulating	0.07	Full replication	13555	False	486	19.6	-0.56	0.58	0.74	6.13	27.99	41.59	102.69	21.55	-13.3	39.09	8.06			13.08	18.19	21.65	2.13	0.68	0.7	-33.7	-9.1	-17.29	-33.7
DE000A0S9GB0	A0S9GB	4GLD		Xetra-Gold	2007-11-27	6154	16.86027397260274	Long-only	Germany	EUR	False	False	Accumulating	0.0	Physically backed	13391	False		29.27	1.57	6.3	10.9	17.25	37.34	58.7	77.43	9.31	7.11	4.0	13.18			13.28	13.94	14.41	2.8	1.19	0.84	-36.79	-5.44	-12.7	-18.21
IE00B3F81R35	A0RGEP	EUN5	10012767	iShares Core EUR Corporate Bond UCITS ETF (Dist)	2009-03-06	5689	15.586301369863014	Long-only	Ireland	EUR	False	True	Distributing	0.2	Sampling	13360	False	3717	4.16	0.47	1.64	3.87	3.46	9.89	-3.85	-2.31	8.02	-14.14	-1.01	2.55	3.41	3.62	3.31	4.75	4.27	2.98	-0.27	-0.11	-17.56	-1.52	-16.71	-17.56
IE00BK5BQT80	A2PKXG	VWCE	48616202	Vanguard FTSE All-World UCITS ETF (USD) Accumulating	2019-07-23	1898	5.2	Long-only	Ireland	USD	False	True	Accumulating	0.22	Optimized sampling	13321	False	3620	17.21	0.61	1.55	2.4	6.52	24.64	30.5	74.43	17.78	-13.01	28.2	6.18			10.83	14.2	17.06	2.27	0.65	0.69	-33.48	-8.71	-16.14	-33.48
IE00BJ0KDQ92	A1XB5U	XDWD	24869934	Xtrackers MSCI World UCITS ETF 1C	2014-07-22	3725	10.205479452054794	Long-only	Ireland	USD	False	True	Accumulating	0.19	Optimized sampling	11877	False	1454	17.55	0.24	1.02	2.01	5.41	25.6	34.25	82.33	19.61	-13.03	32.04	6.19			11.42	15.33	18.24	2.24	0.67	0.7	-33.83	-8.74	-16.94	-33.83
IE00BGSF1X88	A2PBNP	IBC1	45827737	iShares USD Treasury Bond 0-1yr UCITS ETF (Acc)	2019-02-20	2051	5.619178082191781	Long-only	Ireland	USD	False	True	Accumulating	0.07	Sampling	11450	False	79	3.28	0.06	0.06	-2.04	-0.22	0.44	14.95	9.55	1.39	7.22	8.33	-7.6			5.81	7.91	7.35	0.07	0.6	0.25	-13.14	-4.52	-12.2	-13.14
IE00B6YX5C33	A1JULM	SPY5	18118572	SPDR S&P 500 UCITS ETF (Dist)	2012-03-19	4580	12.547945205479452	Long-only	Ireland	USD	False	True	Distributing	0.03	Full replication	11324	False	503	20.07	0.07	0.95	1.13	6.26	28.45	42.06	103.17	21.49	-13.31	39.03	8.0	0.84	1.07	13.04	18.15	21.61	2.17	0.68	0.7	-33.67	-9.07	-17.3	-33.67
LU0290358497	DBX0AN	XEON	3220328	Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C	2007-05-25	6340	17.36986301369863	Long-only	Luxembourg	EUR	False	False	Accumulating	0.1	Swap based Unfunded	10038	False		2.98	0.09	0.34	0.95	1.95	4.0	6.16	4.95	3.27	-0.03	-0.58	-0.57			0.16	0.17	0.16	25.71	11.51	5.94	-3.7	0.0	-0.51	-1.64
IE00BHZPJ890	A2PDNU	OM3L	46193417	iShares MSCI USA ESG Enhanced UCITS ETF USD (Dist)	2019-03-12	2031	5.564383561643836	Long-only	Ireland	USD	False	False	Distributing	0.07	Full replication	9341	True	543	18.41	-0.77	0.55	1.11	5.54	27.37	33.48	98.36	21.17	-16.46	37.47	12.15	1.04	1.31	13.43	18.93	22.02	2.03	0.53	0.67	-33.57	-9.24	-19.6	-33.57
IE00B4X9L533	A1C9KK	H4ZJ	12015245	HSBC MSCI World UCITS ETF USD	2010-12-08	5047	13.827397260273973	Long-only	Ireland	USD	False	True	Distributing	0.15	Optimized sampling	9282	False	1368	17.79	0.42	1.21	2.18	5.66	25.93	34.86	83.98	19.81	-13.03	32.31	6.46	1.47	1.82	11.46	15.42	18.29	2.26	0.68	0.71	-33.78	-8.79	-17.01	-33.78
LU0908500753	LYX0Q0	LYP6	21182580	Amundi Stoxx Europe 600 UCITS ETF Acc	2013-04-03	4200	11.506849315068493	Long-only	Luxembourg	EUR	False	True	Accumulating	0.07	Full replication	8986	False	601	11.57	0.36	-0.57	2.04	3.38	19.07	25.32	52.99	16.04	-10.41	25.27	-1.79			10.46	15.31	17.85	1.82	0.51	0.5	-35.35	-7.03	-20.62	-35.35
IE00BF4G7076	A2DWM7	JREU	38011631	JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF USD (acc)	2018-10-10	2184	5.983561643835617	Long-only, Active	Ireland	USD	False	False	Accumulating	0.2	Full replication	8928	True	251	20.98	0.14	1.2	1.18	6.64	29.48	45.73	113.94	23.18	-13.72	40.75	9.79			13.13	18.31	21.87	2.24	0.73	0.75	-34.38	-9.2	-17.76	-34.38
IE00B3WJKG14	A142N1	QDVE	30453015	iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc)	2015-11-20	3239	8.873972602739727	Long-only	Ireland	USD	False	True	Accumulating	0.15	Full replication	8206	False	68	27.02	-1.05	-0.07	-5.32	9.65	42.07	72.14	209.97	52.08	-23.98	44.56	30.56			21.79	25.93	28.18	1.92	0.76	0.9	-31.62	-16.95	-26.68	-31.62
IE00B1YZSC51	A0MZWQ	IQQY	3246398	iShares Core MSCI Europe UCITS ETF EUR (Dist)	2007-07-06	6298	17.254794520547946	Long-only	Ireland	EUR	False	True	Distributing	0.12	Optimized sampling	8011	False	418	11.66	0.46	-0.64	1.81	3.51	18.84	27.34	53.24	16.13	-9.71	26.11	-3.09	2.79	3.22	10.13	14.09	17.33	1.85	0.59	0.51	-58.41	-7.06	-19.27	-35.27
IE00BFMNPS42	A2JHSH	XZMU	41579357	Xtrackers MSCI USA ESG UCITS ETF 1C	2018-05-08	2339	6.4082191780821915	Long-only	Ireland	USD	False	False	Accumulating	0.15	Full replication	7864	True	278	20.28	-0.16	1.11	0.32	4.85	30.1	42.24	114.7	25.79	-16.9	43.49	10.94			14.9	19.43	22.54	2.01	0.64	0.73	-34.04	-10.47	-19.07	-34.04
IE00B4K48X80	A0RPWG	EUNK	10608355	iShares Core MSCI Europe UCITS ETF EUR (Acc)	2009-09-25	5486	15.03013698630137	Long-only	Ireland	EUR	False	True	Accumulating	0.12	Optimized sampling	7790	False	419	11.57	0.43	-0.69	1.78	3.31	18.77	27.2	53.03	16.15	-9.42	25.7	-3.17			10.15	14.1	17.33	1.84	0.59	0.51	-35.3	-7.06	-19.31	-35.3
IE00BFY0GT14	A2N6CW	SPPW	46170158	SPDR MSCI World UCITS ETF	2019-02-28	2043	5.597260273972603	Long-only	Ireland	USD	False	True	Accumulating	0.12	Optimized sampling	7728	False	1397	17.79	0.28	1.06	2.09	5.51	25.79	34.99	83.25	19.6	-12.74	32.09	6.06			11.42	15.35	18.26	2.25	0.68	0.7	-33.88	-8.72	-16.74	-33.88
DE0005933956	593395	EXW1	1174969	iShares EURO STOXX 50 UCITS ETF (DE)	2000-12-27	8680	23.78082191780822	Long-only	Germany	EUR	False	False	Distributing	0.1	Full replication	7481	False	50	12.53	0.36	0.02	0.76	-0.52	22.19	34.19	61.38	22.79	-9.2	23.49	-3.08	2.76	3.27	12.87	17.7	20.56	1.72	0.58	0.49	-59.17	-9.73	-23.4	-38.23
IE00BJ0KDR00	A1XB5V	XD9U	24268896	Xtrackers MSCI USA UCITS ETF 1C	2014-05-09	3799	10.408219178082192	Long-only	Ireland	USD	False	True	Accumulating	0.07	Full replication	7433	False	601	19.92	-0.01	1.19	1.39	6.24	28.65	39.39	103.42	22.33	-14.74	37.19	10.7			13.24	18.45	21.81	2.16	0.63	0.7	-34.06	-9.1	-18.29	-34.06
IE00BLNMYC90	A1106A	XDEW	24514626	Xtrackers S&P 500 Equal Weight UCITS ETF 1C	2014-06-10	3767	10.32054794520548	Long-only	Ireland	USD	False	True	Accumulating	0.2	Full replication	7417	False	503	13.96	0.79	1.92	6.52	3.33	22.06	28.29	77.02	9.4	-6.5	39.68	2.67			12.64	17.53	22.38	1.74	0.49	0.54	-38.93	-6.32	-15.12	-38.93
IE00BFNM3G45	A2N6TB	SGAS	43695283	iShares MSCI USA ESG Screened UCITS ETF USD (Acc)	2018-10-19	2175	5.958904109589041	Long-only	Ireland	USD	False	False	Accumulating	0.07	Full replication	7310	True	541	20.49	-0.1	1.26	1.17	6.33	30.13	41.44	110.3	25.22	-16.06	37.92	12.24			13.82	18.98	22.21	2.17	0.64	0.72	-33.62	-9.88	-18.6	-33.62
IE0032077012	801498	EQQQ	1527010	Invesco EQQQ Nasdaq-100 UCITS ETF	2002-12-02	7975	21.84931506849315	Long-only	Ireland	USD	False	True	Distributing	0.3	Full replication	7149	False	101	17.39	-0.52	0.99	-3.26	5.71	28.82	41.57	158.16	49.11	-28.47	37.57	35.76	0.42	0.54	17.99	24.23	25.99	1.6	0.51	0.8	-46.75	-14.57	-31.39	-31.39
IE00BYX2JD69	A2DVB9	2B7K	37665525	iShares MSCI World SRI UCITS ETF EUR (Acc)	2017-10-12	2547	6.978082191780822	Long-only	Ireland	EUR	False	False	Accumulating	0.2	Full replication	7136	True	410	11.42	0.0	1.17	2.47	3.31	19.62	27.79	80.1	20.6	-16.42	35.0	11.11			12.17	15.81	17.92	1.61	0.54	0.7	-32.09	-9.23	-19.8	-32.09
FR0010315770	LYX0AG	LYYA	2538768	Amundi MSCI World II UCITS ETF Dist	2006-04-26	6734	18.44931506849315	Long-only	France	EUR	False	False	Distributing	0.3	Swap based Unfunded	6879	False		17.56	0.41	0.87	1.89	5.53	25.57	34.34	82.93	19.73	-12.7	31.16	6.42	1.15	1.43	11.13	14.17	18.0	2.29	0.73	0.71	-53.26	-9.05	-16.82	-33.75
IE00BHZPJ908	A2PCB3	EDMU	46193952	iShares MSCI USA ESG Enhanced UCITS ETF USD (Acc)	2019-04-16	1996	5.468493150684932	Long-only	Ireland	USD	False	False	Accumulating	0.07	Full replication	6769	True	543	19.01	-0.21	1.19	1.63	6.02	27.98	34.05	99.36	21.36	-16.65	37.41	12.35			13.36	18.69	21.89	2.09	0.55	0.68	-33.63	-9.05	-19.62	-33.63
IE00B0M62Q58	A0HGV0	IQQW	2308773	iShares MSCI World UCITS ETF (Dist)	2005-10-28	6914	18.942465753424656	Long-only	Ireland	USD	False	True	Distributing	0.5	Optimized sampling	6664	False	1427	17.27	0.2	0.96	1.9	5.34	25.2	33.09	79.7	19.24	-13.24	31.63	5.88	1.11	1.38	11.42	15.36	18.26	2.2	0.65	0.68	-52.75	-8.77	-17.02	-33.83
DE0005933931	593393	EXS1	1174954	iShares Core DAX UCITS ETF (DE)	2000-12-27	8680	23.78082191780822	Long-only	Germany	EUR	False	False	Accumulating	0.16	Full replication	6617	False	40	13.98	1.04	1.51	4.91	3.27	24.04	24.34	52.09	19.54	-12.88	15.24	2.9			11.73	17.04	20.47	2.04	0.44	0.43	-67.49	-8.24	-26.77	-38.78
IE00BLF7VX27	A2QB0R	SPPU	56805586	SPDR Bloomberg SASB U.S. Corporate ESG UCITS ETF	2020-10-23	1440	3.9452054794520546	Long-only	Ireland	USD	False	False	Accumulating	0.15	Sampling	6512	True	2781	5.43	0.72	2.44	3.81	3.41	9.63	0.49		4.59	-10.86	6.88				8.25	10.61		1.16	0.02		-13.33	-3.11	-13.33	
IE00BZ02LR44	A2AQST	XZW0	41359963	Xtrackers MSCI World ESG UCITS ETF 1C	2018-04-24	2353	6.446575342465754	Long-only	Ireland	USD	False	False	Accumulating	0.2	Full replication	6306	True	674	18.63	0.0	1.04	1.33	5.36	28.0	35.43	89.34	22.34	-16.05	36.04	7.16			12.75	16.19	18.75	2.19	0.66	0.73	-33.63	-9.92	-18.51	-33.63
DE0002635307	263530	EXSA	1814262	iShares STOXX Europe 600 UCITS ETF (DE)	2004-02-13	7537	20.649315068493152	Long-only	Germany	EUR	False	False	Distributing	0.2	Full replication	6303	False	600	11.47	0.25	-0.73	1.88	3.31	18.94	25.1	52.78	16.03	-10.61	24.91	-2.28	2.67	3.09	10.32	14.24	17.33	1.83	0.54	0.51	-58.07	-7.0	-20.61	-35.35
IE00B5KQNG97	A1C19C	H4ZF	11307112	HSBC S&P 500 UCITS ETF USD	2010-05-14	5255	14.397260273972602	Long-only	Ireland	USD	False	True	Distributing	0.09	Full replication	6245	False	502	20.53	0.21	1.36	1.5	6.69	28.97	42.62	104.7	21.71	-13.47	39.08	8.28	1.06	1.35	13.2	18.29	21.71	2.19	0.69	0.71	-33.73	-9.13	-17.2	-33.73
IE00BMTX1Y45	A2QAJB	I500	56309054	iShares S&P 500 Swap UCITS ETF USD (Acc)	2020-09-24	1469	4.024657534246575	Long-only	Ireland	USD	False	False	Accumulating	0.05	Swap based Unfunded	6176	False		20.57	0.0	1.2	1.32	6.57	29.05	43.29		21.53	-12.99	39.37				13.02	18.16		2.22	0.7		-16.92	-9.17	-16.92	
IE00B3ZW0K18	A1C5E9	IBCF	11834662	iShares S&P 500 EUR Hedged UCITS ETF (Acc)	2010-09-30	5116	14.016438356164384	Long-only	Ireland	EUR	True	True	Accumulating	0.2	Full replication	6119	False	505	18.79	-0.66	0.77	3.72	7.91	31.59	25.62	84.11	22.38	-20.95	27.02	15.18			12.16	17.33	20.87	2.59	0.46	0.62	-34.67	-8.45	-26.51	-34.67
LU1781541179	LYX0YD	LCUW	40587053	Amundi MSCI World V UCITS ETF Acc	2018-02-28	2408	6.597260273972603	Long-only	Luxembourg	USD	False	True	Accumulating	0.12	Full replication	5812	False	1421	17.53	0.29	1.09	1.97	5.97	25.5	33.92	80.95	19.5	-13.19	31.96	6.12			11.55	16.46	18.84	2.2	0.62	0.67	-33.91	-8.82	-17.13	-33.91
IE0032895942	911950	IBCD	1613957	iShares USD Corporate Bond UCITS ETF (Dist)	2003-05-16	7810	21.397260273972602	Long-only	Ireland	USD	False	True	Distributing	0.2	Sampling	5523	False	2802	5.52	0.62	2.74	4.56	3.67	11.15	-1.04	2.99	5.43	-12.71	6.29	1.7	4.8	5.08	9.52	11.61	10.98	1.17	-0.03	0.05	-25.35	-3.89	-16.54	-16.54
IE00BZCQB185	A2AFCY	QDV5	31609599	iShares MSCI India UCITS ETF USD (Acc)	2018-05-24	2323	6.364383561643836	Long-only	Ireland	USD	False	False	Accumulating	0.65	Optimized sampling	5489	False	146	21.78	-1.97	0.11	1.29	11.7	29.99	39.38	101.49	15.48	-2.89	35.69	5.15			14.97	15.46	20.28	2.0	0.76	0.74	-40.78	-7.04	-20.76	-40.78
IE00BTJRMP35	A12GVR	XMME	35987944	Xtrackers MSCI Emerging Markets UCITS ETF 1C	2017-06-21	2660	7.287671232876712	Long-only	Ireland	USD	False	True	Accumulating	0.18	Optimized sampling	5456	False	1294	15.41	2.98	5.69	4.25	10.07	19.32	4.99	27.96	5.75	-15.28	5.39	8.01			13.12	14.64	16.69	1.47	0.11	0.3	-31.87	-10.42	-23.29	-31.87
IE00B66F4759	A1C3NE	EUNW	11729717	iShares EUR High Yield Corporate Bond UCITS ETF EUR (Dist)	2010-09-03	5143	14.09041095890411	Long-only	Ireland	EUR	False	True	Distributing	0.5	Sampling	5431	False	624	5.27	0.62	1.22	3.16	3.83	10.59	5.73	11.92	11.33	-9.72	2.21	1.1	6.2	6.44	2.88	4.44	5.91	3.67	0.42	0.38	-20.97	-1.19	-14.92	-20.97
IE00BF4G6Y48	A2DWM6	JREG	38011617	JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF USD (acc)	2018-10-10	2184	5.983561643835617	Long-only, Active	Ireland	USD	False	False	Accumulating	0.25	Full replication	5245	True	680	18.15	0.26	0.95	1.81	5.54	26.31	38.96	92.19	20.9	-12.4	34.36	6.95			11.38	15.36	18.32	2.31	0.75	0.76	-33.84	-8.73	-16.92	-33.84
IE00B3VWN393	A0X8SH	SXRL	10200795	iShares USD Treasury Bond 3-7yr UCITS ETF (Acc)	2009-06-03	5600	15.342465753424657	Long-only	Ireland	USD	False	True	Accumulating	0.07	Sampling	5241	False	90	3.92	-0.03	0.91	1.51	2.18	4.11	2.07	0.89	0.87	-3.85	5.68	-2.02			7.37	9.61	8.59	0.56	0.07	0.02	-17.3	-3.15	-12.9	-13.62
LU1135865084	LYX0Q9	LYP7	26006779	Amundi S&P 500 II UCITS ETF Acc	2014-12-09	3585	9.821917808219178	Long-only	Luxembourg	EUR	False	False	Accumulating	0.05	Swap based Unfunded	5184	False		19.73	-0.4	0.44	0.65	6.01	28.13	42.3	103.08	21.88	-12.85	38.32	8.56			13.04	17.36	20.96	2.15	0.72	0.73	-33.6	-9.29	-17.2	-33.6
IE00B4L5YX21	A0RPWL	EUNN	10608419	iShares Core MSCI Japan IMI UCITS ETF	2009-09-25	5486	15.03013698630137	Long-only	Ireland	USD	False	True	Accumulating	0.12	Optimized sampling	5132	False	1063	11.69	1.23	0.06	3.67	-0.54	15.67	13.66	33.85	14.73	-10.97	9.79	3.62			23.08	19.35	19.33	0.68	0.23	0.31	-27.36	-16.75	-19.0	-27.36
IE00B60SX170	A0RGCQ	SC0H	10128435	Invesco MSCI USA UCITS ETF	2009-03-31	5664	15.517808219178082	Long-only	Ireland	USD	False	False	Accumulating	0.05	Swap based Unfunded	4940	False		20.09	0.01	1.22	1.44	6.34	28.85	40.18	105.61	22.54	-14.56	37.45	11.02			13.28	18.52	21.88	2.17	0.64	0.71	-34.03	-9.1	-18.22	-34.03
IE00BYVJRR92	A2AFC0	QDVR	31608368	iShares MSCI USA SRI UCITS ETF USD (Acc)	2016-07-11	3005	8.232876712328768	Long-only	Ireland	USD	False	False	Accumulating	0.2	Full replication	4928	True	177	11.4	-0.14	1.49	2.51	2.59	19.21	33.86	100.42	19.5	-13.62	41.34	15.68			13.68	18.14	21.58	1.4	0.56	0.69	-33.06	-9.23	-18.24	-33.06
DE000A2T0VU5	A2T0VU	XGDU		Xtrackers IE Physical Gold ETC Securities	2020-04-22	1624	4.449315068493151	Long-only	Ireland	USD	False	False	Accumulating	0.11	Physically backed	4901	False		28.86	1.7	6.21	11.04	17.15	36.25	58.41		9.43	6.99	3.8				14.54	14.46		2.49	1.15		-18.95	-5.96	-11.75	
